Model,Training type,No. initial user communities ,No. final user communities,No. user community switches,No. initial user-topic clusters,No. final user-topic clusters,No. user-topic cluster switches
Myopic,single,15,8,434,5,9,149
Myopic,repeated,15,7,437,5,9,128
Probabilistic,single,15,6,433,5,9,152
Probabilistic,repeated,15,9,443,5,9,133
Random,single,15,5,417,5,10,201
Random,repeated,15,6,423,5,9,206
Random Interleaving,single,15,6,417,5,10,181
Random Interleaving,repeated,15,5,427,5,10,181
"Binary XquAD, alpha=0.1",single,15,6,434,5,10,142
"Binary XquAD, alpha=0.1",repeated,15,7,435,5,8,134
"Binary XquAD, alpha=0.25",single,15,6,439,5,10,179
"Binary XquAD, alpha=0.25",repeated,15,7,437,5,8,110
"Smooth XquAD, alpha=0.1",single,15,7,436,5,9,138
"Smooth XquAD, alpha=0.1",repeated,15,6,434,5,11,135
"Smooth XquAD, alpha=0.25",single,15,7,433,5,10,140
"Smooth XquAD, alpha=0.25",repeated,15,6,434,5,10,134
